"Cement..component.1..kg.in.a.m.3.mixture.","Blast.Furnace.Slag..component.2..kg.in.a.m.3.mixture.","Fly.Ash..component.3..kg.in.a.m.3.mixture.","Water...component.4..kg.in.a.m.3.mixture.","Superplasticizer..component.5..kg.in.a.m.3.mixture.","Coarse.Aggregate...component.6..kg.in.a.m.3.mixture.","Fine.Aggregate..component.7..kg.in.a.m.3.mixture.","Age..day.","Concrete.compressive.strength.MPa..megapascals.."
397,0,0,185.7,0,1040.6,734.3,28,33.08
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
385,0,0,186,0,966,763,7,23.22
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
149,236,0,176,13,847,893,28,32.96
446,24,79,162,11.6,967,712,28,51.02
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
336,0,0,182,3,986,817,28,44.86
310,0,0,192,0,970,850,180,37.33
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
252,0,0,186,0,1111,784,7,11.47
252,97,76,194,8,835,821,28,33.4
307,0,0,193,0,968,812,28,27.53
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
446,24,79,162,11.6,967,712,56,55.25
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
480,0,0,192,0,936.2,712.2,7,34.57
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
304,76,0,228,0,932,670,28,47.81
331,0,0,192,0,978,825,28,31.45
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
266,114,0,228,0,932,670,270,51.73
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
350,0,0,186,0,1050,770,7,20.28
190,190,0,228,0,932,670,365,53.69
475,0,59,142,1.9,1098,641,28,57.23
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43
183.9,122.6,0,203.5,0,959.2,800,7,10.79
261,100,78,201,9,864,761,28,32.4
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
304,76,0,228,0,932,670,365,55.26
289,0,0,192,0,913.2,895.3,28,25.57
480,0,0,192,0,936,721,90,54.28
342,38,0,228,0,932,670,180,52.12
350,0,0,203,0,974,775,14,22.53
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
500,0,0,200,0,1125,613,90,47.22
228,342.1,0,185.7,0,955.8,674.3,28,39.7
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
273,105,82,210,9,904,680,28,37.17
212,0,124.8,159,7.8,1085.4,799.5,56,45.08
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
238,0,0,185,0,1118,789,28,17.54
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
157,236,0,192,0,935.4,781.2,3,9.69
159,149,116,175,15,953,720,28,27.68
155,183,0,193,9,877,868,28,23.79
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
198.6,132.4,0,192,0,978.4,825.5,180,41.72
540,0,0,173,0,1125,613,270,74.17
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
331,0,0,192,0,978,825,7,16.26
313,0,113,178,8,1002,689,28,36.8
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
382,0,0,185,0,1047,739,7,24
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85
236,0,0,194,0,968,885,90,21.95
210.7,316.1,0,185.7,0,977,689.3,28,37.81
155,0,143,193,9,877,868,28,9.74
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
190.7,0,125.4,162.1,7.8,1090,804,14,21.06
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
295,0,0,185,0,1069,769,7,14.8
522,0,0,146,0,896,896,28,74.99
424,22,132,168,8.9,822,750,7,40.29
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
250,0,0,182,0,1100,820,28,20.87
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
313,145,0,178,8,867,824,28,44.39
310,0,0,192,0,1012,830,7,17.24
192,288,0,192,0,929.8,716.1,28,39.32
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
166,259.7,0,183.2,12.7,858.8,826.8,28,37.92
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
424,22,132,168,8.9,822,750,3,32.11
281,0,0,186,0,1104,774,28,22.44
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
153,102,0,192,0,888,943.1,28,17.96
165,0,143.6,163.8,0,1005.6,900.9,3,14.4
249.1,0,98.8,158.1,12.8,987.8,889,100,51.06
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
326.5,0,137.9,199,10.8,801.1,792.5,28,38.63
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
212,141.3,0,203.5,0,973.4,750,7,15.03
387,20,94,157,13.9,938,845,7,45.9
326,0,138,199,11,801,792,28,40.68
194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
166,260,0,183,13,859,827,28,37.91
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.28
173,116,0,192,0,946.8,856.8,3,6.94
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
102,153,0,192,0,887,942,3,4.57
164,0,200,181,13,849,846,28,15.09
349,0,0,192,0,1056,809,28,33.61
265,111,86,195,6,833,790,28,41.54
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
305.3,203.5,0,203.5,0,965.4,631,28,43.38
198.6,132.4,0,192,0,978.4,825.5,7,14.64
380,0,0,228,0,932,670,365,52.52
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
446,24,79,162,11.6,967,712,28,57.03
136,196,98,199,6,847,783,28,26.97
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
500,0,0,200,0,1125,613,14,36.94
446,24,79,162,11.6,967,712,7,38.02
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
332.5,142.5,0,228,0,932,594,270,40.27
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
451,0,0,165,11.3,1030,745,28,78.8
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
500,0,0,200,0,1125,613,1,12.64
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33
332.5,142.5,0,228,0,932,594,28,33.02
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
387,20,94,157,11.6,938,845,28,46.68
439,177,0,186,11.1,884.9,707.9,91,73.3
424,22,132,168,8.9,822,750,28,72.1
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
254,0,0,198,0,968,863,3,9.31
190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
333,0,0,192,0,931.2,842.6,28,31.97
318,0,126,210,6,861,737,28,40.06
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58
183.9,122.6,0,203.5,0,959.2,800,90,32.53
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87
236,0,0,193,0,968,885,365,25.08
397,0,0,186,0,1040,734,28,36.94
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
295,0,0,185,0,1069,769,28,25.18
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38
165,0,150,182,12,1023,729,28,18.03
331,0,0,192,0,978,825,90,37.23
359,19,141,154,10.9,942,801,56,68.75
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
310,0,0,192,0,970,850,360,38.11
389.9,189,0,145.9,22,944.7,755.8,3,40.6
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
255,0,0,192,0,889.8,945,7,10.22
446,24,79,162,11.6,967,712,7,52.01
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
153.1,145,113,178.5,8,867.2,824,28,26.23
366,187,0,191,7,824,757,28,65.91
331,0,0,192,0,978,825,180,39
540,0,0,173,0,1125,613,90,69.66
166.8,250.2,0,203.5,0,975.6,692.6,28,33.95
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
289,0,0,192,0,913.2,895.3,90,32.07
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06
153,102,0,192,0,888,943.1,7,8.37
173,116,0,192,0,946.8,856.8,7,11.39
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4
200,133,0,192,0,965.4,806.2,3,11.41
251.8,0,99.9,146.1,12.4,1006,899.8,3,21.02
145,0,179,202,8,824,869,28,10.54
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
183.9,122.6,0,203.5,0,959.2,800,28,24.05
381.4,0,0,185.7,0,1104.6,784.3,28,22.49
200,133,0,192,0,965.4,806.2,7,17.17
255,0,0,192,0,889.8,945,28,18.75
236,157,0,192,0,972.6,749.1,28,32.88
316.1,210.7,0,185.7,0,977,689.3,28,38.7
331,0,0,192,0,1025,821,3,14.31
288,192,0,192,0,932,717.8,7,23.52
325.6,166.4,0,174,8.9,881.6,790,28,61.24
302,0,0,203,0,974,817,180,26.74
397,17.2,158,167,20.8,967,633,28,55.65
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43
198.6,132.4,0,192,0,978.4,825.5,360,44.3
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
158.4,0,194.9,219.7,11,897.7,712.9,28,8.54
475,0,0,228,0,932,594,180,42.62
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
284,120,0,168,7,970,794,28,40.93
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
200,133,0,192,0,965.4,806.2,90,43.25
190,190,0,228,0,932,670,28,40.86
236,0,0,194,0,968,885,14,12.84
446,24,79,162,11.6,967,712,28,44.42
159,187,0,176,11,990,789,28,32.76
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
313.3,0,113,178.5,8,1001.9,688.7,28,36.8
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
427.5,47.5,0,228,0,932,594,365,43.7
157,236,0,192,0,935.4,781.2,90,43.38
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45
350,0,0,203,0,974,775,28,27.34
516,0,0,162,8.3,801,802,28,41.37
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
165,0,143.6,163.8,0,1005.6,900.9,28,26.2
382.5,0,0,185.7,0,1047.8,739.3,7,24.07
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
284,15,141,179,5.5,842,801,28,43.73
249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05
200,200,0,190,0,1145,660,28,49.25
339,0,0,185,0,1060,754,28,31.65
153,239,0,200,6,1002,684,28,26.86
439,177,0,186,11.1,884.9,707.9,56,71.7
307,0,0,193,0,968,812,3,12.54
387,20,94,157,14.3,938,845,56,56.34
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
202,11,141,206,1.7,942,801,56,23.25
385,0,0,186,0,966,763,1,6.27
333,17.5,163,167,17.9,996,652,28,47.28
310,0,0,192,0,1012,830,120,38.7
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
380,95,0,228,0,932,594,270,41.15
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
212,0,124.8,159,7.8,1085.4,799.5,14,31.35
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
349,0,0,192,0,1047,806,28,32.72
321,0,128,182,11,870,780,28,37.26
520,0,0,170,5.2,855,855,28,60.28
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5
349,0,0,192,0,1056,809,90,40.66
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
425,106.3,0,151.4,18.6,936,803.7,91,66.7
152.7,144.7,0,178.1,8,999.7,822.2,28,19.01
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
202,11,141,206,1.7,942,801,28,21.97
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
322,0,0,203,0,974,800,14,20.77
480,0,0,192,0,936.2,712.2,3,24.4
312.7,144.7,0,127.3,8,999.7,822.2,28,44.52
153,102,0,192,0,888,943.1,90,26.32
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
228,342.1,0,185.7,0,955.8,674.3,7,21.92
505,0,60,195,0,1030,630,28,64.02
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46
491,26,123,210,3.9,882,699,7,33.49
349,0,0,192,0,1047,806,360,42.13
375,0,0,186,0,1038,758,7,26.06
